rank,docid,score
1,889209,6.905367856187974
2,889188,6.904991238096072
3,889239,6.90469076948467
4,889216,6.904572679638474
5,889210,6.904524312635488
6,889248,6.904397245628066
7,889230,6.904388375305983
8,889223,6.904363924690079
9,889205,6.904363924690079
10,159469,6.904339474287777
11,889221,6.903757337598103
12,889213,6.903757337598103
13,889194,6.903757337598103
14,313798,6.903757337598103
15,32984,6.903757337598103
16,889229,6.9036357495978375
17,889201,6.903480646721304
18,889217,6.903299705292623
19,889193,6.900952718829888
20,889242,6.900700434199223
21,853949,6.8988679605988725
22,889182,6.893236822637455
23,889246,6.887115353149548
24,889234,6.886934703237107
25,889240,6.8860883653361356
26,889237,6.8836121298290776
27,702192,6.881187804383751
28,889232,6.878448496496674
29,889249,6.87787568184055
30,889208,6.877117621964809
31,889228,6.872476660806654
32,889185,6.871336627226068
33,889224,6.869981606917214
34,231387,6.869593541191163
35,227716,6.869533953378523
36,280911,6.869517930435562
37,152305,6.86947436662611
38,889219,6.867233432535964
39,889235,6.865518804960512
40,889190,6.864629901510159
41,889199,6.857826722304129
42,363489,6.857826722304129
43,889250,6.8569833481335
44,889214,6.856630432283901
45,889225,6.854524166936816
46,889183,6.85426982301674
47,889212,6.835021496149221
48,889236,6.8314322536988215
49,863327,6.831418129198794
50,39805,6.827636178076611
