rank,docid,score
1,890628,-2.3446781519490014
2,890600,-2.3446781519490014
3,890619,-2.3449077002508356
4,890586,-2.39945485790094
5,890622,-2.5065907496041833
6,890602,-2.5306539942892132
7,890613,-2.5314865669921236
8,890598,-2.6318286816080696
9,890625,-2.631912014968242
10,888650,-9.076020610471875
11,888702,-9.076272747549725
12,888700,-9.077028963032657
13,888718,-9.07863602970673
14,888686,-9.07863602970673
15,888670,-9.07863602970673
16,888657,-9.07863602970673
17,888652,-9.07863602970673
18,888674,-9.080150396078364
19,888717,-9.080402676014812
20,888709,-9.080402676014812
21,888675,-9.080402676014812
22,888656,-9.080402676014812
23,61597,-9.080402676014812
24,888641,-9.080907137855435
25,888643,-9.082167720991968
26,888688,-9.082419739720622
27,514408,-9.082671725835851
28,368450,-9.082923679345992
29,888699,-9.083427488584324
30,888683,-9.083427488584324
31,471806,-9.083427488584324
32,144022,-9.084686441673842
33,888671,-9.084938134642904
34,888666,-9.08574459281792
35,888658,-9.087636192138133
36,888667,-9.088516435217525
37,888715,-9.088977781072053
38,888698,-9.09102962258147
39,888672,-9.09102962258147
40,888642,-9.09102962258147
41,888660,-9.09193439428559
42,888704,-9.09294435870291
43,888680,-9.09319676798115
44,888677,-9.094206078041019
45,888654,-9.094206078041019
46,888708,-9.094458323834552
47,888694,-9.09597111277925
48,888659,-9.09597111277925
49,888644,-9.09597111277925
50,316035,-9.10025097653432
